Date,Week,Month,Country,Region,DC_ID,DC_Name,DC_Manager,Team_Leader,Team,Shift,Employee_ID,Employee_Name,Role,SelectionRate_Cases,PickRate,ReplenishmentRate,IdleSelectionTime_pct,OnTaskTime_pct,Overtime_pct,LaborHours,LaborCost_EUR,OrdersProcessed,UnitsProcessed,ForecastVolume,ActualVolume,CapacityUtilization_pct,EquipmentDowntime_Min,InventoryAccuracy_pct,PickingErrorRate_pct,OnTimeShipment_pct,Absenteeism_pct,SafetyIncidents,Anomaly_Scenario
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_B,Team_B,Morning,EMP0074,Employee_0074,Replenisher,150.9,127.9,98.6,7.2,90.0,3.2,7.75,228.24,225,879,1292,1449,105,13.8,95.3,2.42,98.2,2.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_D,Team_D,Morning,EMP0287,Employee_0287,Warehouse Associate,218.0,137.0,138.8,1.9,90.2,3.8,8.05,287.3,220,844,873,860,86.0,25.4,96.9,2.0,94.8,3.6,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC004,Eindhoven DC,Manager_Eindhoven,TL_DC004_C,Team_C,Night,EMP0114,Employee_0114,Picker,160.4,142.0,124.1,7.2,90.6,8.2,8.84,241.72,277,882,1177,1122,105,28.9,98.1,2.66,95.4,1.2,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_C,Team_C,Morning,EMP0184,Employee_0184,Packer,181.0,133.3,123.2,8.6,95.3,5.8,8.45,243.22,192,743,695,653,52.2,14.8,96.0,2.45,96.8,0.9,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_B,Team_B,Night,EMP0234,Employee_0234,Picker,162.2,120.7,108.2,8.2,91.0,9.0,8.95,323.39,183,713,917,960,87.3,0,97.0,0.84,98.0,3.4,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC007,Berlin DC,Manager_Berlin,TL_DC007_A,Team_A,Night,EMP0194,Employee_0194,Replenisher,183.5,157.4,137.7,10.2,86.3,10.9,9.12,251.51,291,1544,1065,1040,105,29.1,96.1,3.52,97.3,3.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_C,Team_C,Morning,EMP0312,Employee_0312,Warehouse Associate,182.2,142.2,106.9,4.4,90.6,6.0,8.18,310.43,269,1023,604,646,56.2,27.0,98.8,1.58,95.6,1.9,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_B,Team_B,Night,EMP0304,Employee_0304,Warehouse Associate,185.1,121.6,136.6,7.9,92.1,7.7,8.89,277.23,195,955,936,915,79.6,11.0,97.6,3.02,98.5,3.5,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_D,Team_D,Evening,EMP0025,Employee_0025,Warehouse Associate,220.3,131.9,138.4,5.4,92.1,8.9,8.57,317.81,211,1211,1016,997,105,31.7,95.8,1.68,98.9,4.7,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC012,Antwerp DC,Manager_Antwerp,TL_DC012_A,Team_A,Night,EMP0358,Employee_0358,Warehouse Associate,160.2,133.8,121.3,9.7,85.9,9.8,8.92,282.34,255,1010,1101,1058,100.8,29.1,97.1,0.76,98.9,2.6,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC011,Brussels DC,Manager_Brussels,TL_DC011_C,Team_C,Morning,EMP0344,Employee_0344,Picker,194.7,128.5,116.0,3.5,85.7,6.3,7.9,301.0,203,727,1070,1024,105,21.6,97.7,1.16,96.0,4.3,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_A,Team_A,Evening,EMP0168,Employee_0168,Replenisher,200.3,155.3,149.8,5.6,90.3,5.7,10.03,279.96,319,1453,1190,1156,92.5,25.6,97.2,1.98,100,1.3,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_A,Team_A,Evening,EMP0131,Employee_0131,Picker,205.7,181.0,125.8,4.8,91.8,6.3,9.26,257.18,292,940,916,863,66.4,1.2,96.8,2.5,96.8,2.3,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC011,Brussels DC,Manager_Brussels,TL_DC011_D,Team_D,Night,EMP0350,Employee_0350,Packer,125.1,115.6,109.1,8.0,89.7,2.3,7.71,226.07,226,720,1281,1317,105,8.7,95.5,2.44,98.8,1.4,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_B,Team_B,Night,EMP0041,Employee_0041,Warehouse Associate,162.7,151.0,139.3,4.3,88.5,6.0,8.65,250.2,321,1471,854,937,78.1,15.6,97.3,3.41,98.3,3.2,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_B,Team_B,Evening,EMP0237,Employee_0237,Packer,164.1,158.6,116.9,5.1,88.6,11.5,8.96,345.69,292,932,1066,940,85.5,0,98.9,2.36,97.0,4.3,4,Safety incident event
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_B,Team_B,Night,EMP0240,Employee_0240,Picker,114.9,138.0,124.1,8.8,89.1,7.2,8.69,276.87,227,1307,1120,1057,96.1,20.1,97.9,2.71,96.5,5.4,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_C,Team_C,Night,EMP0178,Employee_0178,Warehouse Associate,160.8,137.2,121.5,7.8,84.3,6.3,9.77,274.79,285,859,1068,953,76.2,0,97.5,2.09,98.5,4.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_C,Team_C,Morning,EMP0280,Employee_0280,Replenisher,188.3,142.4,136.4,5.3,92.5,6.0,6.95,248.56,216,1012,771,701,70.1,27.9,97.0,1.51,98.5,3.6,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_B,Team_B,Evening,EMP0270,Employee_0270,Picker,174.6,157.6,114.6,6.8,92.4,6.0,7.54,232.19,306,1004,966,1156,105,18.1,96.6,1.34,98.0,5.8,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_B,Team_B,Evening,EMP0272,Employee_0272,Warehouse Associate,173.9,153.4,157.6,5.1,89.5,7.3,7.51,231.65,242,949,884,1051,105,13.3,97.5,1.66,99.0,4.6,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_C,Team_C,Evening,EMP0051,Employee_0051,Replenisher,187.5,109.4,127.2,7.7,90.7,3.4,9.38,320.24,176,929,728,678,56.5,16.3,97.2,1.64,96.4,3.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_B,Team_B,Evening,EMP0142,Employee_0142,Picker,183.3,151.3,134.0,5.2,90.9,6.8,7.84,295.92,260,1159,924,900,69.2,41.7,97.7,2.03,96.1,0.3,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC005,Muelheim DC,Manager_Muelheim,TL_DC005_C,Team_C,Night,EMP0152,Employee_0152,Picker,167.0,158.0,129.4,7.0,93.5,6.4,8.2,215.25,236,1309,941,864,66.5,3.3,97.7,1.67,100,5.1,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_C,Team_C,Morning,EMP0020,Employee_0020,Replenisher,189.2,172.0,137.2,6.3,94.5,8.3,9.63,324.0,259,1276,708,768,90.4,9.5,98.4,1.86,94.4,3.9,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_B,Team_B,Night,EMP0042,Employee_0042,Replenisher,146.4,140.8,120.0,7.9,89.7,7.5,8.08,249.54,211,807,864,832,69.3,16.0,98.1,1.99,97.7,4.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_B,Team_B,Evening,EMP0303,Employee_0303,Replenisher,205.1,160.5,135.3,6.3,89.5,7.2,9.97,373.18,307,1066,1186,1071,93.1,15.5,98.0,1.48,94.2,0.6,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_C,Team_C,Evening,EMP0022,Employee_0022,Picker,165.8,151.5,142.7,4.5,90.6,8.6,9.21,257.26,323,1812,1105,987,105,22.8,96.9,2.7,95.5,2.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_A,Team_A,Evening,EMP0036,Employee_0036,Warehouse Associate,176.2,150.1,145.0,6.9,90.0,5.9,8.46,258.18,307,1772,972,1019,84.9,24.0,97.7,1.66,100,2.3,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_B,Team_B,Night,EMP0271,Employee_0271,Replenisher,165.8,121.9,119.9,7.5,90.6,7.5,8.92,275.65,247,1061,1078,1258,105,0,98.2,1.66,97.6,4.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_A,Team_A,Evening,EMP0232,Employee_0232,Picker,194.4,157.6,125.3,5.6,87.5,7.2,8.33,292.78,332,1284,1111,1279,105,4.1,98.8,1.79,98.1,4.2,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_A,Team_A,Evening,EMP0289,Employee_0289,Picker,198.2,150.3,118.8,8.7,89.1,6.1,9.16,264.25,260,1025,1190,1051,91.4,0,97.1,2.02,97.5,5.4,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC007,Berlin DC,Manager_Berlin,TL_DC007_A,Team_A,Morning,EMP0198,Employee_0198,Warehouse Associate,188.3,160.5,159.7,6.3,93.2,9.3,8.25,219.35,337,1444,1014,1157,105,8.4,97.2,2.4,95.5,5.5,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC011,Brussels DC,Manager_Brussels,TL_DC011_B,Team_B,Evening,EMP0331,Employee_0331,Warehouse Associate,162.2,150.9,120.2,4.6,85.2,4.9,9.39,314.41,279,973,1023,919,105,7.0,96.6,2.67,98.6,3.2,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_A,Team_A,Morning,EMP0295,Employee_0295,Replenisher,195.6,149.8,152.1,5.0,89.3,6.9,9.29,328.73,289,890,753,783,68.1,5.3,97.6,1.36,96.5,5.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_D,Team_D,Morning,EMP0315,Employee_0315,Warehouse Associate,184.5,144.6,127.8,5.0,90.2,6.1,7.07,205.01,287,1512,950,1049,91.2,19.2,96.6,0.86,98.0,3.0,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_C,Team_C,Evening,EMP0246,Employee_0246,Packer,155.2,149.9,130.3,6.7,95.1,6.1,8.03,306.16,235,1359,893,1024,93.1,28.8,97.4,2.18,99.4,4.8,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_C,Team_C,Evening,EMP0277,Employee_0277,Picker,178.8,155.7,140.7,8.7,85.3,7.1,9.18,305.58,267,1112,1022,1040,104.0,16.4,98.4,2.45,98.1,4.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_B,Team_B,Morning,EMP0012,Employee_0012,Warehouse Associate,180.0,169.5,131.0,5.2,90.3,0.7,7.81,220.6,244,932,966,1040,105,36.1,99.2,1.63,100,4.9,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_B,Team_B,Evening,EMP0079,Employee_0079,Packer,176.9,119.4,110.0,4.3,86.8,5.9,7.81,273.28,195,919,1450,1308,105,20.6,97.1,2.28,99.1,5.5,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_A,Team_A,Evening,EMP0164,Employee_0164,Picker,164.3,153.0,167.0,9.8,90.5,4.1,8.58,298.21,312,991,538,492,45,11.5,97.2,1.78,93.3,5.1,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_A,Team_A,Evening,EMP0069,Employee_0069,Picker,152.7,130.9,130.3,4.7,94.4,6.7,9.49,329.02,190,631,909,1087,105,21.4,98.2,2.75,97.0,2.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_B,Team_B,Evening,EMP0014,Employee_0014,Warehouse Associate,189.4,144.7,148.1,5.0,83.7,7.4,8.42,283.33,288,1552,877,932,105,23.1,98.0,1.33,98.7,3.1,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_C,Team_C,Morning,EMP0054,Employee_0054,Packer,186.0,159.6,143.4,4.5,94.9,4.6,7.7,236.3,272,1247,1170,1110,92.5,13.6,98.5,0.74,96.6,5.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC007,Berlin DC,Manager_Berlin,TL_DC007_B,Team_B,Evening,EMP0201,Employee_0201,Packer,174.4,147.9,136.0,6.5,89.0,1.6,7.94,268.51,315,1605,839,966,105,15.7,98.6,1.33,100,1.9,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_B,Team_B,Evening,EMP0048,Employee_0048,Warehouse Associate,185.5,147.0,122.9,7.2,90.9,7.2,9.24,287.13,274,1041,1155,1024,85.3,16.5,99.6,1.85,96.1,3.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_C,Team_C,Evening,EMP0087,Employee_0087,Replenisher,158.0,129.6,140.1,4.6,87.3,7.0,8.94,294.8,235,970,769,869,91.5,19.2,98.2,0.56,94.7,4.1,0,None
2025-01-01,WK01,2025-01,Germany,DACH,DC009,Cologne DC,Manager_Cologne,TL_DC009_C,Team_C,Night,EMP0274,Employee_0274,Picker,208.7,136.0,137.1,9.1,92.8,7.1,8.9,259.67,293,964,757,742,74.2,10.6,95.9,1.72,98.1,2.6,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_B,Team_B,Night,EMP0010,Employee_0010,Warehouse Associate,180.3,131.0,130.3,6.0,84.2,10.0,8.54,337.38,191,1036,858,864,101.6,23.8,97.8,2.71,97.8,3.3,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_C,Team_C,Morning,EMP0024,Employee_0024,Warehouse Associate,166.0,138.8,149.1,3.4,92.0,9.3,8.47,277.14,248,1102,786,707,83.2,16.1,99.6,1.75,98.1,3.3,0,None
2025-01-01,WK01,2025-01,Belgium,Benelux,DC012,Antwerp DC,Manager_Antwerp,TL_DC012_D,Team_D,Evening,EMP0384,Employee_0384,Warehouse Associate,165.6,149.0,115.8,3.8,88.4,3.4,8.79,294.56,309,1696,967,910,86.7,4.7,97.9,2.68,95.3,2.7,0,None
2025-01-01,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_A,Team_A,Night,EMP0037,Employee_0037,Replenisher,141.7,149.6,119.8,4.7,88.5,4.0,7.59,249.58,316,1124,1001,964,80.3,19.1,97.6,0.97,97.7,4.5,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_C,Team_C,Morning,EMP0022,Employee_0022,Picker,194.6,180.4,127.8,10.3,88.5,9.1,8.0,231.15,392,2148,864,804,94.6,12.1,97.8,2.3,98.7,3.2,2,Safety incident event
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC004,Eindhoven DC,Manager_Eindhoven,TL_DC004_A,Team_A,Morning,EMP0103,Employee_0103,Packer,216.2,157.8,143.5,6.6,94.9,4.8,8.66,302.87,335,1073,1106,1281,105,32.9,98.7,1.25,97.4,0.1,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_A,Team_A,Night,EMP0072,Employee_0072,Packer,165.1,115.6,121.0,6.5,89.9,6.4,8.35,279.7,178,984,827,916,96.4,30.1,99.0,2.75,99.6,2.7,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_A,Team_A,Evening,EMP0007,Employee_0007,Picker,186.1,138.9,138.8,3.1,87.5,5.3,9.19,327.37,230,750,1117,1136,105,11.0,98.9,2.23,100,5.3,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_A,Team_A,Night,EMP0037,Employee_0037,Replenisher,177.6,164.6,146.0,7.4,89.3,7.2,8.47,295.97,329,1124,583,522,45,38.3,98.6,1.55,98.5,2.1,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_A,Team_A,Evening,EMP0291,Employee_0291,Picker,163.5,163.6,160.3,5.0,89.5,5.5,8.14,244.19,245,1290,953,1116,97.0,14.1,98.0,3.34,97.9,5.6,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC002,Rotterdam DC,Manager_Rotterdam,TL_DC002_B,Team_B,Morning,EMP0045,Employee_0045,Warehouse Associate,196.4,150.3,117.4,7.1,88.3,7.6,7.72,293.72,230,1267,874,939,78.2,16.0,98.6,1.73,96.5,4.9,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_A,Team_A,Morning,EMP0227,Employee_0227,Replenisher,205.2,134.0,139.5,5.2,85.6,6.6,8.76,306.2,269,846,959,995,90.5,29.5,96.8,1.0,96.9,3.3,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_C,Team_C,Morning,EMP0088,Employee_0088,Replenisher,171.3,129.8,140.4,9.2,88.8,2.5,7.86,242.0,258,912,895,797,83.9,26.7,96.9,2.45,98.1,1.6,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC003,Utrecht DC,Manager_Utrecht,TL_DC003_A,Team_A,Night,EMP0071,Employee_0071,Packer,182.6,136.2,126.2,8.5,91.1,7.5,9.0,288.91,222,1096,825,757,79.7,29.2,98.3,2.37,96.9,4.0,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC010,Frankfurt DC,Manager_Frankfurt,TL_DC010_D,Team_D,Evening,EMP0316,Employee_0316,Picker,168.3,140.4,118.4,8.3,92.1,7.0,8.99,313.0,237,1160,1040,1050,91.3,48.7,97.5,2.09,97.6,4.5,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_D,Team_D,Night,EMP0028,Employee_0028,Picker,155.9,148.9,118.1,7.1,92.9,5.6,7.7,291.14,249,766,881,799,94.0,14.1,98.0,2.43,98.4,4.8,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC004,Eindhoven DC,Manager_Eindhoven,TL_DC004_B,Team_B,Evening,EMP0105,Employee_0105,Warehouse Associate,157.7,147.9,129.7,7.7,90.8,4.1,8.82,252.38,290,1023,1141,1262,105,0,99.2,2.86,96.1,4.2,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_A,Team_A,Morning,EMP0168,Employee_0168,Replenisher,208.0,143.4,141.8,8.0,90.8,7.4,8.45,286.69,255,898,1090,1057,84.6,6.0,97.7,1.67,95.1,3.9,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC008,Munich DC,Manager_Munich,TL_DC008_B,Team_B,Evening,EMP0234,Employee_0234,Picker,194.4,153.2,146.0,5.4,93.9,6.3,10.01,296.14,280,1548,999,910,82.7,0.7,99.0,3.37,97.4,2.7,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_B,Team_B,Morning,EMP0175,Employee_0175,Packer,165.3,145.5,131.4,4.8,87.1,2.1,8.06,220.29,278,899,728,870,69.6,23.4,97.9,2.27,96.1,1.8,0,None
2025-01-02,WK01,2025-01,Netherlands,Benelux,DC001,Amsterdam DC,Manager_Amsterdam,TL_DC001_C,Team_C,Evening,EMP0017,Employee_0017,Replenisher,180.0,139.4,132.5,4.1,93.9,9.5,7.83,223.77,210,1016,910,1076,105,13.4,96.9,1.01,95.1,2.7,0,None
2025-01-02,WK01,2025-01,Germany,DACH,DC006,Hamburg DC,Manager_Hamburg,TL_DC006_A,Team_A,Evening,EMP0161,Employee_0161,Warehouse Associate,169.5,137.3,144.6,6.3,92.8,5.1,7.82,263.64,278,1275,1110,1170,93.6,20.9,97.2,1.24,95.4,3.9,0,None
